,TCGA-A2-A0YK,TCGA-AO-A03R,TCGA-AO-A03T,TCGA-AO-A03U,TCGA-AO-A0JB,TCGA-AR-A1AO,TCGA-B6-A0IE,TCGA-E2-A108
AMH,-2.9495,-0.28300000000000003,-1.439,-2.521,-1.636,-2.085,-2.4835,-2.6425
PPP2R1A,0.041375,0.598875,0.248375,-0.0305,0.6295,0.32575,0.01425,-0.092625
HDAC2,-0.19175,-0.757625,-0.9615,-0.2695,-0.4815,0.5945,0.3425,-0.387375
PRKACG,0.20875,-0.51025,0.516,0.53575,0.60775,0.344,-2.40975,-0.004
CAB39,0.8821667,-0.076,-0.9125,0.40183333333333293,-1.6108333333333302,0.201,-0.672833333333333,0.6075
IRAK4,0.24100000000000002,-0.0123333333333333,-0.5218333333333329,0.20416666666666697,-0.815833333333333,-0.6535,-1.2515,0.1205
PRKCA,-1.9311,-2.7258,-2.5239,-0.0789,-1.669,-2.1207,-1.9743333333333302,-1.6977
RPS6KB1,-1.223833,-0.25875,-0.8210833333333329,-1.3725833333333302,-0.6629999999999999,-1.5150833333333302,-0.444,-1.01575
NTRK1,-0.2763333,-1.8,-2.0015,-1.3565,-2.068,-0.197666666666667,-1.8602,-0.7668333333
HES1,1.0911,1.7202,1.1719,1.1287,0.8646,-0.0702,0.9932,0.6195
NCOR2,0.3591667,-0.46399999999999997,0.124833333333333,0.864833333333333,0.3823333333333329,-0.1705,0.4855,0.23666666670000003
BCL2,1.880375,2.4845,2.89325,0.163,1.127,1.280375,2.939125,1.7725
BIRC7,-1.78075,-0.88375,-0.6075,2.55525,-0.826,1.24125,-1.07525,-1.06775
IRS1,0.0923,1.0467,1.0841,2.2097,0.5857,-0.0625,0.2635,0.2568
WNT6,0.4275714,0.44676923076923103,1.23592307692308,0.0167857142857143,1.57364285714286,1.77014285714286,0.377769230769231,-0.032357142900000004
RFNG,-0.4135,0.272125,0.24,-0.0075,0.324875,-0.26375,-1.209375,-1.004625
TNFRSF1A,0.5414167,0.7095,-0.0456666666666667,1.79475,1.092,0.8255,0.4523333333333329,0.96475
