,TCGA-A1-A0SM,TCGA-A2-A04R,TCGA-A2-A0CT,TCGA-A2-A0CW,TCGA-A2-A0D4,TCGA-A2-A0ER,TCGA-A2-A0EY,TCGA-A2-A0SV,TCGA-A2-A0SW,TCGA-A2-A0T3,TCGA-A2-A0T4,TCGA-A2-A0YG,TCGA-A2-A0YH,TCGA-A7-A0CJ,TCGA-A7-A13F,TCGA-A8-A06N,TCGA-A8-A06O,TCGA-A8-A06Q,TCGA-A8-A06R,TCGA-A8-A06X,TCGA-A8-A06Z,TCGA-A8-A079,TCGA-A8-A07L,TCGA-A8-A07S,TCGA-A8-A07W,TCGA-A8-A07Z,TCGA-A8-A082,TCGA-A8-A084,TCGA-A8-A085,TCGA-A8-A08F,TCGA-A8-A08G,TCGA-A8-A08I,TCGA-A8-A08P,TCGA-A8-A095,TCGA-A8-A096,TCGA-A8-A097,TCGA-A8-A09C,TCGA-A8-A09D,TCGA-A8-A09I,TCGA-A8-A09M,TCGA-A8-A09N,TCGA-A8-A09Q,TCGA-A8-A09R,TCGA-A8-A09W,TCGA-A8-A09Z,TCGA-A8-A0A9,TCGA-A8-A0AB,TCGA-AN-A03Y,TCGA-AN-A041,TCGA-AN-A049,TCGA-AN-A0AJ,TCGA-AN-A0AK,TCGA-AN-A0AM,TCGA-AN-A0AS,TCGA-AN-A0FF,TCGA-AN-A0FK,TCGA-AN-A0FY,TCGA-AN-A0XR,TCGA-AN-A0XW,TCGA-AO-A03O,TCGA-AO-A03P,TCGA-AO-A0J3,TCGA-AO-A0J7,TCGA-AO-A0JC,TCGA-AO-A0JD,TCGA-AO-A0JI,TCGA-AO-A0JM,TCGA-AO-A12B,TCGA-AQ-A04H,TCGA-AR-A0TQ,TCGA-AR-A0TT,TCGA-AR-A0TV,TCGA-AR-A0TY,TCGA-AR-A0TZ,TCGA-AR-A0U2,TCGA-AR-A0U3,TCGA-AR-A1AV,TCGA-B6-A0IB,TCGA-B6-A0IC,TCGA-B6-A0IM,TCGA-B6-A0RL,TCGA-B6-A0WV,TCGA-B6-A0WW,TCGA-B6-A0X5,TCGA-BH-A0AU,TCGA-BH-A0AY,TCGA-BH-A0B5,TCGA-BH-A0BD,TCGA-BH-A0BF,TCGA-BH-A0BZ,TCGA-BH-A0C0,TCGA-BH-A0C3,TCGA-BH-A0C7,TCGA-BH-A0DD,TCGA-BH-A0H0,TCGA-BH-A0HU,TCGA-BH-A0HW,TCGA-BH-A0W3,TCGA-BH-A18F,TCGA-BH-A18J,TCGA-BH-A18L,TCGA-BH-A18U,TCGA-BH-A1EW,TCGA-C8-A12M,TCGA-C8-A12U,TCGA-C8-A12W,TCGA-C8-A12X,TCGA-C8-A1HG,TCGA-C8-A1HL,TCGA-C8-A1HM,TCGA-C8-A1HN,TCGA-D8-A13Y,TCGA-D8-A140,TCGA-E2-A107,TCGA-E2-A109,TCGA-E2-A10A,TCGA-E2-A10C,TCGA-E2-A14O,TCGA-E2-A14S,TCGA-E2-A14W,TCGA-E2-A155,TCGA-E2-A15A,TCGA-E2-A15K,TCGA-E2-A15L,TCGA-E2-A15M,TCGA-E2-A15S,TCGA-E2-A15T
TRADD,0.191,-0.3665,-0.628,0.4851666666666671,-1.01716666666667,0.4415,0.4535,0.7956667,0.5731666999999999,-0.18366670000000002,0.1175,1.3159999999999998,-0.24216669999999998,-0.6505,0.576333333333333,-0.3711667,-0.466,-0.6583333,0.488,-0.3538333,0.05266667,-0.646833333333333,-0.33383333333333304,-0.6056666999999999,0.297333333333333,0.5396666667,0.534,0.7075,0.18633333333333302,0.706,-0.1005,0.3635,0.2971666667,0.0305,0.0166666666666667,0.578,0.614833333333333,0.0201666666666667,0.4533333333333329,0.49916666670000004,-0.4341666666666671,-0.5315,0.583,-0.3018333,0.9001667,0.19533333333333303,-0.16466670000000003,-0.5103333333,0.8925,0.0965,0.021,-0.166,0.7561667,0.23166666670000002,0.845,0.0521666666666667,0.2753333333,-0.1035,0.7638333333,0.073,-0.12666666666666698,-0.5866666667,-0.581333333333333,1.212833,-0.871,-1.1775,0.4976666666666671,0.2941666667,0.7635,0.863,0.845,-0.527,1.05483333333333,-0.847,-0.9955,-0.08166667,0.8255,0.316,-0.32899999999999996,-0.247,-1.02583333333333,1.11116666666667,-0.46016670000000004,-0.003666667,0.2593333,-0.3315,-0.08233333,0.8076666667,0.953666666666667,0.682166666666667,0.31416669999999997,0.314833333333333,0.4838333333333329,-0.8809999999999999,-0.3866666666666671,-0.5735,-0.5336666666666671,-0.2923333,0.0675,0.27,-1.05216666666667,0.0035,-0.0736666667,-0.30166666666666697,0.7763333,0.629833333333333,1.3826666666666698,-0.2891666667,0.706,0.6951666667,-0.0191666666666667,-1.10516666666667,0.71,-0.25133333329999996,0.0506666667,0.18983333333333302,0.26899999999999996,0.594833333333333,-0.8633333000000001,-0.4015,-0.19783333329999997,0.556666666666667,-0.47366666666666707,0.0651666666666667,0.3283333333,-0.7768333000000001,-0.137833333333333
DVL2,-0.19216666670000002,-0.7133333000000001,-0.920333333333333,-1.25433333333333,-1.1385,-0.78,-1.02966666666667,-0.8548333,-0.354,0.2805,-1.1665,-1.035,-0.8081666999999999,-0.3946667,-0.6665,-0.9465,-0.736,-1.166167,-0.720666666666667,-1.7118330000000002,-0.3343333,-0.3691666666666671,-0.702833333333333,-0.7743333,-0.681666666666667,-0.251,-0.49066666670000003,-0.7746666666666671,-0.953666666666667,-0.2903333,-1.333333,-0.105,-0.2121666667,-0.668833333333334,-0.763833333333333,-0.696,-0.5945,-1.338,-0.859333333333333,-1.0341666667,-1.008,-0.2715,-1.1905,-0.4338333,-0.9148333000000001,-0.5435,-1.184167,-0.31283333329999996,-0.7661667,-0.6505,-0.225,-0.645333333333333,-0.7388333,-0.7446666667,-0.675833333333333,-0.9651666666666671,-0.4196666667,-1.0316670000000001,-0.7595,-0.52,-0.785166666666667,-0.37,-0.0195,-0.3906667,-1.404667,-1.59983333333333,-0.5313333333333329,-0.3775,-0.9001666667,-0.4891667,-1.074333,-0.331,-1.3773333333333302,-0.9651666667000001,-0.5306666999999999,-0.5356666999999999,0.12116666666666699,-0.1495,-0.986666666666667,-0.603833333333333,-1.21316666666667,-0.861166666666667,-0.3303333,-0.2021667,-0.5873333000000001,-0.7775,-1.0665,-0.493,-0.892833333333333,-0.7390000000000001,-0.6433333000000001,-0.987,-0.936833333333333,-1.632,-0.853833333333333,-0.6665,-1.1,-0.18483329999999998,-1.204833,-1.02883333333333,-0.821333333333333,-0.435,-0.4808333333,-0.061,-0.8231666999999999,0.19216666666666699,0.263166666666667,-0.2745,-1.13083333333333,-0.6123333333,-0.802333333333333,-0.0596666666666667,-0.15666670000000002,-0.4205,-0.7805,-0.4336666666666671,-0.191,0.273666666666667,-1.105167,-1.17816666666667,-1.3128333333,-0.832666666666667,-0.623,-0.5301666666666671,-0.9703333332999999,-0.6056666999999999,-0.784166666666667
DLL1,0.896125,0.979875,0.687625,1.584625,1.500625,0.676875,-0.096625,0.775625,0.11900000000000001,1.625625,0.47225,0.630125,0.399625,0.4315,0.421375,-0.126625,-0.00175,-0.273875,0.996375,0.489375,0.367125,0.34425,0.639125,0.485125,1.1995,0.817875,0.196125,1.095,0.431625,0.1065,-0.0955,0.492625,1.014875,1.03975,0.837125,1.403125,0.43142857142857105,1.590875,0.9915,0.44575,0.622625,0.407625,0.518625,0.3425,2.0275,0.68875,0.362625,0.15875,1.031125,0.75775,0.344375,1.78875,1.361875,1.917375,0.255,0.1045,0.478,0.3425,0.93075,0.448125,0.245875,0.389875,0.4005,1.28025,0.34975,0.17585714285714302,0.6515,0.728875,0.534,1.0025,0.087125,-0.09125,1.05325,0.120125,0.235375,0.4575,0.7635,0.41175,1.800375,0.766125,0.22875,0.53975,0.630375,0.14325,0.75875,0.679625,0.70675,0.520375,0.72675,0.97575,0.126875,0.849875,0.978,0.952625,0.04475,0.621,0.24825,1.15475,0.877,1.401125,0.919125,0.54375,0.410875,0.518375,0.099375,0.921125,0.26825,0.77375,1.065625,0.306625,0.225,0.13571428571428598,0.229125,0.83125,0.96375,0.579875,0.313,0.47025,0.482125,0.593875,0.494125,1.408125,0.29275,1.35675,1.723875,0.852375,0.203
LEFTY1,-3.2873333333,-1.80975,-2.1075,-0.98275,-0.86075,-0.73775,-1.7325,-2.1555,-2.38925,-1.29375,-2.1855,-2.56575,-1.22775,-1.37675,-1.91025,-0.8795,-2.42475,-2.21975,-2.526,-1.33525,-1.98625,-2.758,-3.19775,-1.1179999999999999,-1.96275,-1.06775,0.98125,-0.05275,-1.3030000000000002,-0.0925,-1.17125,-1.3765,-2.4035,-1.69225,-2.5580000000000003,-2.68825,-3.222,-2.04275,0.552,-1.46425,-1.935,-2.239,-0.0295,-2.15975,-1.61,-1.835,-1.43175,-2.043,-1.26925,-1.04775,-2.5275,-1.20575,-2.7725,-1.74625,-0.5985,-1.229,-0.3885,-0.88375,-1.7365,-2.22975,-0.9395,-1.4645,-0.5365,-3.0265,-1.5175,-2.254,-2.54125,-1.20675,-0.53725,-1.1445,-0.3345,-2.9165,-2.28625,-2.37025,-0.50925,-1.16475,-2.1355,-1.43275,-2.0015,-1.32,-0.16975,-2.267,-2.27925,-1.528,-1.6225,-2.7665,-0.86325,-2.001,-2.207,-1.51475,-1.58375,-3.5405,-0.391,-2.09125,-1.67525,-3.26475,-0.598,-1.7895,-1.69175,-1.00075,-1.2795,-1.13025,-2.28125,-1.56075,-2.50875,-2.41,-1.0825,-2.4395,0.8545,-0.8845,-1.51525,-0.41175,-1.90425,-1.205,-2.274,-2.364,-0.8405,-2.96025,-1.2195,-2.02175,-1.188,-2.40775,-0.18575,-2.44725,-1.18125,3.6010000000000004,-0.9115
BLM,-2.37725,-1.12525,-2.39425,-1.52,-0.8395,-1.92875,-2.142,-1.55375,-2.19025,-1.2285,-1.81625,-1.4,-1.55725,-0.8490000000000001,-0.76925,-2.593,-1.165,-1.151,-1.7915,-0.62775,-2.73175,-1.32825,-0.27525,-1.847,-1.5905,-2.4125,-1.32425,-2.18875,-1.36075,-0.57225,-1.55275,-1.93725,-1.595,-1.68725,-2.2845,-1.58975,-2.24,-2.2215,-1.11525,-0.64975,-1.74325,-1.92975,-2.23525,-2.24875,-2.7895,-2.23475,-1.624,-1.41925,-1.55825,-2.234,-0.9135,-1.28775,-1.2455,-3.0105,-2.22575,-2.62375,-1.6975,-1.453,-1.365,-1.06825,-2.148,-1.03925,-1.935,-0.7945,-1.0865,-1.48375,-1.0865,-2.985,-2.1815,-1.21925,-0.88725,-1.55375,-0.7295,-1.31025,0.34825,-1.0425,-1.46875,-2.15725,-2.7289999999999996,-1.345,-0.396,-2.28725,-2.657,-0.778,-1.43325,-2.45775,-1.4769999999999999,-1.847,-2.05575,-1.93775,-0.68025,-2.261,-1.55475,-0.6615,-2.37275,-1.5815,-1.65775,-1.5815,-1.81525,-2.22,-1.4805,-0.90625,-1.45525,-2.30525,-1.10575,-1.3665,-2.23425,-0.8655,-0.39375,-0.46875,-1.232,0.9855,-1.905,-1.2429999999999999,-1.2945,-1.07675,-1.23525,-2.02,-1.8095,-1.6155,-1.85425,-1.16775,-1.146,-1.5275,-1.98475,-0.64775,-1.723
PPP2CB,0.052000000000000005,0.38266669999999997,1.4645,-0.0515,-0.0938333333333333,0.15533333333333302,0.181333333333333,-0.15933329999999998,0.622,-0.36633330000000003,0.445,0.6833333,-0.6906667,-0.5213333,-0.649333333333333,-0.6316666999999999,0.314666666666667,0.35600000000000004,-0.656333333333333,-0.1491667,-1.113167,-0.994833333333333,0.0455,-0.5475,-0.19866666666666696,-0.1213333333,-0.4655,0.588833333333333,-0.5365,-0.07416667,-0.46333329999999995,0.29516666666666697,-0.24183333329999998,0.607666666666667,0.4436666666666671,-0.5545,0.077,0.546833333333333,-0.39983333333333293,0.6781666667,0.6285,-1.06733333333333,0.092,-0.597,0.9313333,0.8383333333333329,0.838,-0.5405,0.2108333,-0.19083333333333302,-0.8108333329999999,0.158833333333333,-0.3993333,-0.31716666670000004,0.24516666666666698,0.29966666666666697,-0.5463333333,0.41333329999999996,0.30683333329999996,-0.6428333,-0.0668333333333333,-1.244,0.0181666666666666,-0.9965,0.2073333,0.831833333333333,0.3395,1.1183333333,0.44933333329999997,0.1885,-0.26,-0.25816669999999997,0.6496666666666671,0.862,-0.03933333,0.08316667,-0.3796666666666671,0.2433333,0.937333333333333,-0.0226666666666667,-0.573166666666667,0.829666666666667,-0.1753333,-1.2085,1.403667,-0.00616666666666667,1.2325,0.7868333332999999,0.20733333333333304,0.604833333333333,-0.9205,0.328666666666667,0.105333333333333,0.10716669999999999,-0.915,-1.171,-0.1325,-0.1713333,0.4298333,-0.102333333333333,-0.1015,-0.00266666666666668,-0.0578333333,-0.7798333333333329,-0.8316667,-0.0168333333333333,-0.109833333333333,-0.664,-1.24633333333333,0.0218333333,0.3631666666666671,0.4291666666666671,-0.45466670000000003,0.5878333333,-1.1055,0.3275,-0.5358333332999999,-0.5375,1.420833,-0.15766666666666698,0.8736666667,0.479,-0.29266666666666696,0.349,-0.083,-0.09699999999999999,2.4526666666666697
PDPK1,0.5197142857,0.9284286,0.7182857142857142,0.516714285714286,1.17057142857143,0.953,1.1685,0.2157857,0.4194286,0.7588571,0.1105,0.5185,0.8835714,-0.08764286,-0.902142857142857,0.9260714,0.6436428571428571,0.7313571,1.4210714285714299,0.9940000000000001,1.0650709999999999,-0.0605,0.43457142857142894,0.9116429,0.0667857142857143,0.9181428571,0.9629285714,0.785857142857143,1.0637857142857101,0.6181429,0.8328571,0.4698571428571429,0.4072142857,0.7260714285714291,0.166857142857143,0.4365,0.557214285714286,1.26521428571429,0.354785714285714,0.40335714289999997,0.7092142857142858,0.365,0.11792857142857101,-0.07557143,-0.10735710000000001,0.5172857142857139,0.8540714,0.9986428570999999,0.7580714,0.8244285714285708,0.05371428599999999,0.35628571428571393,0.6115714,0.4933571429,0.36692857142857105,0.45514285714285707,0.9837857143000001,1.0855709999999998,0.2399285714,0.8802857,0.103214285714286,0.2652142857,0.5051428571428571,0.4247143,0.413,-0.236071428571429,0.4366428571428571,0.9214285714,0.7950714286,0.4175,0.3885,0.971,-0.0491428571428571,0.2392857143,1.258071,0.5595,0.42057142857142893,0.5069286,0.9955,0.725928571428572,1.3910714285714298,0.6358571428571429,0.5092143,0.40957140000000003,0.3728571,0.7337857142857142,-0.1697857,0.0907857143,-0.667428571428571,0.152214285714286,0.3663571,0.17042857142857096,0.4886428571428571,-0.1105,0.7192142857142858,0.8395,0.8687142857142858,1.0232139999999998,0.7632143,0.5523571428571429,1.3053571428571398,-0.304785714285714,0.1209285714,0.5583571428571429,1.238214,0.830857142857143,0.9397142857142858,0.5687142857,0.0512142857142857,0.1415,0.7909999999999999,0.9747857142857141,0.4117857,1.1909285714,0.18142857140000002,0.8827142857142851,1.3228571429,-0.36642857142857105,0.5252857,0.617428571428571,0.4362142857,0.32957142857142896,0.7897857142857142,-0.0813571428571429,0.1979285714,0.7505,0.929142857142857
RAD51C,-1.7805,-0.80225,-0.68225,-1.54325,-2.437,-1.05075,-1.76425,-1.09025,-1.02025,-0.7205,-1.85925,-1.859,-1.01375,-0.48475,-0.82475,-0.87,-0.98375,-1.834,-0.7915,-0.61025,-0.39875,-0.38625,-0.95775,-1.14625,-1.15825,-1.34,-1.203,-2.48675,0.612,0.78375,-0.94275,-0.49275,-1.17425,-1.666,-1.3090000000000002,-1.1455,-2.04525,-1.8030000000000002,-0.25775,-0.1445,-1.91875,-0.0515,-1.38,-0.0015,-1.662,-1.9969999999999999,-1.41875,-1.585,-1.659,-0.7245,-0.76525,-2.20125,-1.15425,-2.66825,-1.19875,-1.6480000000000001,-2.673,-0.44799999999999995,-0.15275,-1.2945,-0.50525,-0.516,-0.71625,-1.64675,-1.87175,-0.56175,0.94525,-0.75475,-0.98625,-0.6725,-1.7935,-1.2329999999999999,-0.5785,-0.65525,-0.7105,-1.9909999999999999,-1.339,-1.39625,-1.162,-1.9865,-0.84475,-0.62875,-1.5875,-0.9625,-0.7240000000000001,-2.004,-1.78375,-1.34825,-0.92025,-2.17,-0.33875,-1.00825,-0.6615,0.263,-0.92075,-1.29225,0.23975,-0.2015,-1.87925,-1.27725,-1.16175,-0.67175,-0.92675,-0.16825,-0.51375,-0.53125,-1.042,-0.73775,-1.37625,0.04725,-0.414,0.3605,0.43200000000000005,-1.17225,-0.47925,-1.23575,-1.89375,-1.666,-1.42875,-1.5935,-0.01075,-1.53625,-1.756,-1.35425,-1.4225,-0.68775,-0.81825
IL1RAP,-0.59025,-1.360417,-1.40775,-0.741666666666667,-1.4569166666666697,-1.09981818181818,-1.41683333333333,-0.8109999999999999,-0.359,-0.4749167,-0.7161666666666671,-0.9905,-0.7820833,-1.27975,-1.1365,-0.8761667,-1.3639166666666698,-0.5626667,0.00866666666666666,-1.053417,-0.8388333,-1.8053333333333301,-1.19141666666667,-0.9254167,-0.58925,-0.6119166667,-0.3800833333,-0.583,-0.73025,-0.93475,-0.4664167,-0.864416666666667,-0.49433333329999996,-0.85375,-0.7245,-0.6218333,-0.992083333333333,-1.16491666666667,-0.8160833333333329,-0.9889166667,-0.973833333333333,-1.16641666666667,-0.951583333333333,-1.12275,-0.6430833,-0.816,-0.2738333,-1.5738333333,-0.5068332999999999,-0.24766666666666698,-1.197666667,-1.23175,0.11066669999999999,1.2701666667,-0.68875,-0.644166666666667,-1.13625,-0.7985833000000001,-0.1206666667,-1.34225,-1.01608333333333,-1.93,-1.65536363636364,-0.6886667,-0.9961667,-1.4067,-1.05125,-0.78175,-1.2485833333,-1.000583,-0.96075,-1.1675,-0.15408333333333302,-1.1715833333,-0.9740000000000001,-1.114667,-1.426,-1.052833,-2.21508333333333,-0.5074166666666671,-1.3665,-0.5391666666666671,-1.11125,0.2741667,-1.181833,-0.926666666666667,-0.9860833000000001,-0.408,-0.7325,-0.744166666666667,-1.090583,-0.799833333333333,-0.677583333333333,-1.200833,-1.50925,-0.57475,-0.856833333333333,-1.790083,-0.9543333,0.5001666666666671,-1.796,-1.24141666666667,-0.136,-1.46733333333333,-1.321167,-0.950333333333333,-0.821333333333333,-1.3268333333,-1.50725,-1.5703333333,-0.28433333333333305,-1.7409999999999999,-1.252917,-1.2074166667,-1.305,-0.764583333333333,-1.2605833333,-0.74,-0.5154167000000001,-1.74025,-0.8340833333,-0.550666666666667,-1.3969999999999998,-1.19583333333333,-0.41258333329999997,-1.7895830000000001,-1.6939166666666698
GLI3,1.791,1.6575,2.5015,-0.32475,0.241375,1.4995,-2.005,0.831875,-1.082125,0.00325,1.8365,0.47825,2.349875,1.24425,0.973,1.208,0.330125,-2.7539999999999996,2.452125,0.88075,0.347625,0.429125,0.469375,3.195,0.387375,1.006375,2.80625,0.553125,1.05275,1.2245,1.268375,1.0825,0.93275,1.2770000000000001,1.0205,2.5755,1.76725,0.742125,-0.01375,1.5575,0.722875,1.049125,0.889,-0.53325,1.112875,1.717875,2.42575,2.4125,0.44975,0.617625,-0.206375,-0.463375,0.824125,1.324125,1.373375,1.343125,2.30825,1.952625,1.729625,1.32075,0.743375,1.599125,0.45399999999999996,0.559125,0.626125,0.448125,0.43875,0.65075,0.545375,-0.444625,1.685375,1.014875,-0.015375,0.82425,0.272375,1.328375,0.6125,2.223625,1.29375,3.373625,2.323625,1.4985,1.124375,0.341625,1.251875,1.5530000000000002,2.02575,2.308875,0.546875,-0.399375,0.33175,0.41275,0.44875,1.427625,2.25075,1.0865,1.739875,-0.6990000000000001,1.550125,2.335125,0.022125,1.91725,0.22225,0.69525,-2.0935,0.384625,0.671875,-0.7575,-0.215125,0.411125,0.17800000000000002,0.2875,1.457625,1.09675,0.276125,2.680875,-1.815625,1.16025,1.775875,0.34275,2.646875,0.81625,1.0895,1.10675,0.74175,1.63675,0.990375
ZMAT3,1.0859999999999999,-0.5215,0.23775,-0.95,0.18675,-0.12975,-0.342,-0.66225,-0.025,0.355,0.82675,-0.2945,0.47025,-0.402,-0.50575,-0.44525,-0.44925,-0.1895,-0.1155,-0.2065,-0.262,-1.6925,-0.4715,-0.92425,0.32975,-0.32899999999999996,0.4225,-0.11325,0.34225,0.28300000000000003,0.11725,-0.125,0.046,0.37875,0.4625,1.00975,0.09,0.47,-1.03775,-1.0425,-1.081,-0.4645,0.203,-0.45299999999999996,0.26175,-0.8909999999999999,-0.04825,-0.5355,0.65275,0.4445,-0.5615,-0.48700000000000004,-0.066,0.31925,0.188,-0.316,-0.80975,-0.8635,0.44975,-0.6035,0.06025,0.42175,-0.2595,0.9359999999999999,-0.5635,-2.12625,0.45575,-0.90925,-0.28325,-0.53925,-0.0485,0.14575,0.26275,0.00625,-0.22775,-0.6365,0.37575,0.1645,-0.48,0.135,-1.421,0.18975,0.8705,-0.14675,-0.295,-0.62225,-0.775,-0.044000000000000004,-0.58975,0.086,-0.0235,-0.80425,-0.057,-1.463,-0.81275,0.063,-0.04425,-0.68625,-0.07925,1.1395,-0.35,-0.11699999999999999,0.14925,0.557,-1.33125,0.38825,-0.19525,0.34025,-0.5665,-0.706,-0.33425,1.288,0.26899999999999996,-0.11,-0.00925,0.355,-0.87875,-0.556,-0.0695,0.49475,-0.17025,0.09300000000000001,-0.9965,0.386,0.34725,-0.1345,0.203
SIAH1,0.01725,0.988,2.1765,0.4625,-0.22175,0.6565,-0.17175,0.14925,0.56925,0.7765,0.39,0.5925,0.23325,-0.53225,-0.1725,-0.2435,-0.69425,-0.71825,-0.05325,-0.19699999999999998,-0.515,-0.2245,-0.611,-0.39925,0.8995,-0.07575,0.0715,0.22899999999999998,0.4885,-0.245,-0.3395,0.1115,-0.525,0.4275,-0.3485,0.1065,0.556,0.878,0.78575,-0.22825,0.1605,-0.294,0.06725,-0.58075,-0.6385,-0.0085,0.17800000000000002,-0.00225,0.20425,-0.6725,-0.15875,0.55475,0.39275,0.5175,0.32325,-0.9079999999999999,1.1995,-0.2385,0.534,0.9035,0.4845,0.541,-0.43975,-0.16025,-0.29925,0.684,0.84925,-0.05775,1.1675,0.51625,0.78825,-1.054,1.6375,0.7355,0.184,0.1195,-0.0235,0.105,-0.16475,-0.20075,-0.07025,0.36,-0.425,0.5355,0.3125,0.2835,0.30875,0.33925,0.11075,0.70375,-1.0945,1.60375,0.27375,0.735,-0.341,-0.28625,0.70175,-0.6935,0.21975,-0.4495,0.028999999999999998,0.03875,0.27975,0.12875,0.77375,0.69825,0.087,0.67625,0.15125,0.6565,0.39625,-0.31175,1.04875,-0.804,0.6195,-0.498,-0.40399999999999997,-0.5155,-0.365,-0.675,0.02025,0.665,-0.32,0.175,0.44,1.869,0.599
EIF4B,0.1380625,-0.6781875,0.0670625,-1.1384375,-0.9570000000000001,-0.0830625,-0.656375,-0.28725,-1.040563,-0.825625,-0.228375,-0.6948125,-0.10775,-1.15825,-0.055,0.4909375,-0.007812500000000009,-0.002625,-1.1440000000000001,-0.45875,0.218625,0.0924375,-0.34600000000000003,0.4085,-0.6735,-0.2176875,-0.14800000000000002,-1.2271875,-1.15225,-0.3228125,0.507625,-0.7031875,-0.4461875,-0.029375,0.33675,-0.4065,0.7594375,-0.7533125,-0.273125,-0.6624375,0.8370000000000001,0.319,-0.545625,-0.3690625,0.18925,0.133375,0.204375,1.0294375,-0.3945,-0.3099375,0.2849375,0.178125,-0.6063125,0.112875,-0.1474375,-0.2699375,-0.5475625,-0.889875,-0.5614375,-1.0805,0.4786875,-0.8623125,0.4063125,-0.2181875,0.1241875,0.475625,-1.1765,-0.3500625,-0.813875,-0.8585,-0.35425,-0.083625,-0.6673125,0.214625,-0.10625,0.0695,-0.6074375,-0.26125,0.43,0.33899999999999997,-0.3114375,-0.0704375,-0.817375,-0.9345,-0.0741875,-0.3103125,0.233625,-0.1820625,-0.6805625,-0.7530625,-0.4843125,0.172625,-1.244,-0.2548125,-0.1059375,-0.7023125,0.1915625,-0.498625,0.2038125,-0.094,0.007374999999999991,-0.2650625,-0.334375,0.1465625,-1.25625,-0.612625,-0.4283125,-1.50925,-0.8548125,-1.0250625,-0.820375,0.2075,0.021625,-0.2129375,-0.71975,-0.487625,-0.758375,-0.8600625,-0.1073125,-0.34,0.016875,-0.6934375,-0.8526875,0.0441875,0.0246875,0.368125,0.090125
SMURF1,-0.136125,0.046,-0.513,-0.08199999999999999,0.093625,-0.280625,-0.0255,-0.097375,0.103375,1.530875,-0.48575,0.152375,-0.080875,-0.39399999999999996,0.610125,-0.6765,-0.593375,-0.066625,-0.059375,0.673875,-0.130625,-0.26175,0.25175,-0.311625,-0.366875,0.33975,-0.517375,0.07175,0.3855,-0.711375,0.397,-0.69075,-0.165125,0.1645,-0.342,-0.31775,-0.1655,-0.39175,-0.307,-0.911875,0.027625,-0.149,-0.359125,-0.706125,-0.00275,-0.83275,-0.251125,-0.50875,0.490125,0.051625,-0.224125,-0.027375,-0.528375,0.18675,-0.027000000000000003,-0.00899999999999999,-0.6085,-0.245,-0.195625,-0.785375,-0.02075,-0.371875,-0.431125,-0.6990000000000001,0.827375,-0.812625,0.04075,-0.866625,-0.099125,-0.263,-0.52875,-0.409875,-0.360375,-0.027625,-0.458125,0.04525,-0.132875,0.42925,-0.909875,0.2595,-0.05325,0.250125,-0.141,-0.363125,-0.12675,-0.34725,-0.325375,-0.160625,-0.235875,0.12525,0.009625,0.043,0.014875,-0.116625,-0.489125,-0.821,-0.429375,-0.19575,-0.6795,0.3145,-0.62375,-0.73175,-0.1185,-0.075125,-0.295625,0.082375,0.04325,-0.414,0.422625,-0.480125,0.1755,0.188875,-0.0315,-0.072875,-0.19575,0.321875,-0.344625,-0.1305,-0.774375,-0.57075,-0.249375,0.028625,0.033375,0.099375,-0.217125,0.07975,0.092625
INHBA,2.9406666667000003,2.442333,1.7093333333333303,1.4996666666666698,-0.2715,1.08766666666667,1.9409999999999998,3.1421669999999997,2.2913330000000003,1.057167,2.8480000000000003,1.2085,2.221,1.0475,2.97466666666667,-0.8931667,1.2265,-0.01383333,3.4488333333333303,1.579167,0.3253333,1.272,1.9821666666666697,3.016,2.516,0.2155,2.1738333333,2.87933333333333,2.21383333333333,2.1505,1.632333,-0.0551666666666667,2.763,1.6206666666666698,2.925,3.1453330000000004,1.8141666666666698,3.14,2.355,1.7796666666999998,1.979,1.7819999999999998,2.59666666666667,1.9805,1.172167,2.2119999999999997,0.9101667,0.9391666667,3.3515,2.25833333333333,2.0171666669999997,0.41100000000000003,2.394833,2.9566666667000003,1.3898333333333301,2.528,2.7375,2.397,3.1118333333,0.5771666999999999,1.526,-0.3125,1.7986666666666697,-1.504333,-0.05633333,0.305666666666667,3.58483333333333,0.5765,1.1756666667,0.542,2.2295,0.1428333,-0.0861666666666667,1.5436666666999999,0.222,0.04516667,0.252833333333333,1.5225,-1.181,2.1693333333333302,-1.6248333333333302,1.09633333333333,2.912,1.1565,1.9813330000000002,2.63333333333333,1.7971669999999997,2.0755,2.42816666666667,2.85233333333333,0.9735,1.065,2.15833333333333,2.1025,0.643833333333333,2.04083333333333,1.982,0.2473333,2.1863330000000003,3.42666666666667,-0.17533333333333304,1.5386666666666697,0.3615,0.9066666666666671,0.3675,3.09683333333333,0.8220000000000001,1.9636666666999998,1.16783333333333,0.4661666667,2.239,1.8001666666666698,1.6780000000000002,0.2365,2.0376666667,2.61416666666667,1.7911666667,1.7063333333333301,1.191167,2.8688333333333302,0.6711666667,2.282,1.19716666666667,3.34016666666667,1.8828333333,-0.5103333,0.3576666666666671
